Rank,MSA/NECMA Name,Supply Elasticity
1,"Miami, FL",0.6
2,"Los Angeles-Long Beach, CA",0.63
3,"Fort Lauderdale, FL",0.65
4,"San Francisco, CA",0.66
5,"San Diego, CA",0.67
6,"Oakland, CA",0.7
7,"Salt Lake City-Ogden, UT",0.75
8,"Ventura, CA",0.75
9,"New York, NY",0.76
10,"San Jose, CA",0.76
11,"New Orleans, LA",0.81
12,"Chicago, IL",0.81
13,"Norfolk-Virginia Beach-Newport News, VA-NC",0.82
14,"West Palm Beach-Boca Raton, FL",0.83
15,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH",0.86
16,"Seattle-Bellevue-Everett, WA",0.88
17,"Sarasota-Bradenton, FL",0.92
18,"Riverside-San Bernardino, CA",0.94
19,"New Haven-Bridgeport-Stamford-Danbury-Waterbury, CT",0.98
20,"Cleveland-Lorain-Elyria, OH",1
21,"Tampa-St. Petersburg-Clearwater, FL",1.02
22,"Milwaukee-Waukesha, WI",1.03
23,"Jacksonville, FL",1.06
24,"Portland-Vancouver, OR-WA",1.07
25,"Orlando, FL",1.12
26,"Vallejo-Fairfield-Napa, CA",1.14
27,"Newark, NJ",1.16
28,"Charleston-North Charleston, SC",1.2
29,"Pittsburgh, PA",1.2
30,"Tacoma, WA",1.21
31,"Baltimore, MD",1.23
32,"Detroit, MI",1.24
33,"Las Vegas, NV-AZ",1.39
34,"Rochester, NY",1.4
35,"Tucson, AZ",1.42
36,"Knoxville, TN",1.42
37,"Jersey City, NJ",1.44
38,"Minneapolis-St. Paul, MN-WI",1.45
39,"Hartford, CT",1.5
40,"Springfield, MA",1.52
41,"Denver, CO",1.53
42,"Providence-Warwick-Pawtucket, RI",1.61
43,"Washington, DC-MD-VA-WV",1.61
44,"Phoenix-Mesa, AZ",1.61
45,"Scranton-Wilkes-Barre-Hazleton, PA",1.62
46,"Harrisburg-Lebanon-Carlisle, PA",1.63
47,"Bakersfield, CA",1.64
48,"Philadelphia, PA-NJ",1.65
49,"Colorado Springs, CO",1.67
50,"Albany-Schenectady-Troy, NY",1.7
51,"Gary, IN",1.74
52,"Baton Rouge, LA",1.74
53,"Memphis, TN-AR-MS",1.76
54,"Buffalo-Niagara Falls, NY",1.83
55,"Fresno, CA",1.84
56,"Allentown-Bethlehem-Easton, PA",1.86
57,"Wilmington-Newark, DE-MD",1.99
58,"Mobile, AL",2.04
59,"Stockton-Lodi, CA",2.07
60,"Raleigh-Durham-Chapel Hill, NC",2.11
61,"Albuquerque, NM",2.11
62,"Birmingham, AL",2.14
63,"Dallas, TX",2.18
64,"Syracuse, NY",2.21
65,"Toledo, OH",2.21
66,"Nashville, TN",2.24
67,"Ann Arbor, MI",2.29
68,"Houston, TX",2.3
69,"Louisville, KY-IN",2.34
70,"El Paso, TX",2.35
71,"St. Louis, MO-IL",2.36
72,"Grand Rapids-Muskegon-Holland, MI",2.39
73,"Cincinnati, OH-KY-IN",2.46
74,"Atlanta, GA",2.55
75,"Akron, OH",2.59
76,"Richmond-Petersburg, VA",2.6
77,"Youngstown-Warren, OH",2.63
78,"Columbia, SC",2.64
79,"Columbus, OH",2.71
80,"Greenville-Spartanburg-Anderson, SC",2.71
81,"Little Rock-North Little Rock, AR",2.79
82,"Fort Worth-Arlington, TX",2.8
83,"San Antonio, TX",2.98
84,"Austin-San Marcos, TX",3
85,"Charlotte-Gastonia-Rock Hill, NC-SC",3.09
86,"Greensboro-Winston-Salem-High Point, NC",3.1
87,"Kansas City, MO-KS",3.19
88,"Oklahoma City, OK",3.29
89,"Tulsa, OK",3.35
90,"Omaha, NE-IA",3.47
91,"McAllen-Edinburg-Mission, TX",3.68
92,"Dayton-Springfield, OH",3.71
93,"Indianapolis, IN",4
94,"Fort Wayne, IN",5.36
95,"Wichita, KS",5.45
